Site_ID	Site	Province	Latitude Longitude R_Latitude R_Longitude Altitude MAT MAP
1	Mengla	Yunnan	22	101	21.9	101.27	590	20.53 	1313.44 
2	Foshan	Guangdong	23	111	23.05	113.16	3	21.85 	1723.66 
3	Liuzhou	Guangxi	24	109	25.45	109.38	97.6	19.91 	1492.26 
4	Guilin	Guangxi	25	110	25.26	110.28	159	18.51 	1611.29 
5	Kunming	Yunnan	25	103	25.08	102.79	1950	14.77 	1036.00 
6	Fuzhou	Fujian	26	119	26.04	119.26	54	18.17 	1431.76 
7	Ganxian	Jiangxi	26	115	26.07	115.17	90	18.63 	1540.46 
8	Guiyang	Guizhou	26	107	26.58	106.44	1050	15.32 	1111.08 
9	Changsha	Hunan	28	113	28.14	113	80	17.83 	1338.16 
10	Changde	Hunan	29	111	29.04	111.64	37	15.61 	1395.80 
11	Nanchang	Jiangxi	29	116	28.76	115.84	31	18.93 	1471.99 
12	Yinxian	Zhejiang	29	121	29.86	121.63	5	17.20 	1481.63 
13	Chongqing	Chongqing	29	106	29.83	106.43	250	18.20 	1079.55 
14	Hangzhou	Zhejiang	30	120	30.25	120.12	20	15.94 	1329.53 
15	Renshou	Sichuan	30	104	29.83	104.15	450	16.18 	1113.41 
16	Wuhan	Hubei	30	114	30.48	114.37	34	17.65 	1251.03 
17	Shanghai	Shanghai	31	121	31.23	121.45	5	16.07 	1220.62 
18	Wuhu	Anhui	31	118	31.29	118.39	20	17.01 	1279.34 
19	Hefei	Anhui	32	117	31.75	117.24	20	15.60 	1094.32 
20	Nanjing	Jiangsu	32	119	32.18	119.45	35	15.65 	1121.65 
21	Yangzhou	Jiangsu	32	119	32.46	119.9	7	15.29 	1090.11 
22	Zhenjiang	Jiangsu	32	119	32.21	119.44	32	15.11 	1054.68 
23	Yancheng	Jiangsu	33	120	33.26	119.92	2	14.56 	964.50 
24	Xian	Shanxi	34	109	34.21	109.04	436	10.39 	734.53 
25	Luoyang	Henan	35	113	34.73	112.78	138	14.49 	617.73 
26	Liaocheng	Shandong	36	115	36.46	115.48	31.6	13.65 	620.12 
27	Taian	Shandong	36	117	36.16	117.115	127	13.22 	678.17 
28	Dezhou	Shandong	37	116	37.44	116.36	21	13.75 	563.22 
29	Baoding	Hebei	38	115	38.86	115.45	17	13.12 	517.29 
30	Minqin	Gansu	38	103	38.59	102.98	13785	7.59 	205.27 
31	Yinchuan	Ningxia	38	106	38.48	106.23	1111	10.35 	216.29 
32	Qinhuangdao	Hebei	39	119	\	\	50	11.03 	546.56 
33	Yixian	Hebei	39	115	38.83	115.45	98	10.38 	479.10 
34	Beijing	Beijing	40	116	39.59	116.16	55	8.78 	477.91 
35	Gaizhou	Liaoning	40	122	40.43	122.48	45	9.27 	658.69 
36	Chengde	Hebei	41	118	40.97	117.93	330	7.72 	516.87 
37	Huhehaote	Neimenggu	41	112	40.76	111.68	1062	3.84 	328.44 
38	Shenyang	Liaoning	42	123	41.83	123.57	53	8.32 	612.88 
39	Changchun	Jilin	43	125	43.83	125.44	215	6.62 	669.02 
40	Mudanjiang	Heilongjiang	44	130	44.6	129.61	230	1.96 	614.68 
41	Haerbin	Heilongjiang	46	126	45.45	126.16	146	4.03 	491.56 
42	Jiamusi	Heilongjiang	47	130	46.8	130.42	80	3.14 	576.69 
43	Dedou	Heilongjiang	48	126	48.51	126.2	324	1.71 	495.42 
44	Nenjiang	Heilongjiang	49	125	\	\	281	0.09 	456.99 
							537.6636364	12.90843457	923.2654824
							2055.551143	5.515820709	416.4194416
